≥ı ºx,MSE_3,5,7,9,MAE_3,5,7,9
17235,7.910680717,4.444990004,2.422259672,1.3163489,2.421056326,1.845222024,1.310367853,0.964692037
17480,6.947651807,3.266029152,2.667908988,0.902410801,2.364227166,1.442314198,1.29130369,0.764002232
17886,4.898152096,2.586766869,1.220550667,1.540563899,1.835108306,1.37849975,0.85941423,1.038350353
16817,5.647057321,3.815034712,1.462944324,2.251878869,1.922852647,1.567995384,0.997311904,1.301768736
18037,4.576647924,1.862247847,3.176935452,1.684305908,1.768289283,1.124413067,1.521654815,1.105416998
14801,4.138853214,2.666950629,2.15775371,0.962741013,1.634575,1.297771769,1.200282194,0.761994662
17495,5.532188815,1.533445179,2.557332497,2.397568076,1.962223563,1.068553631,1.232553425,1.19179896
14912,6.416670106,2.848202576,2.361893739,1.9776472,2.072925982,1.347882166,1.161689437,1.150446243
18165,4.92867249,1.98839001,2.595349623,1.836859484,1.864192866,1.078864265,1.336032398,1.078997528
17080,7.278853053,2.625989442,2.276054705,1.904278564,2.334259269,1.233137066,1.287594135,1.191860079
,,,,,,,,
,5.827542754,2.763804642,2.289898338,1.677460271,2.017971041,1.338465332,1.219820408,1.054932783
