≥ı ºx,MSE_3,5,7,9,MAE_3,5,7,9
14810,4.84597228,3.650034928,2.571940549,1.903503917,1.838684707,1.626296206,1.225216777,1.06969011
15273,3.332693607,2.486929311,4.164163059,1.366954052,1.495859344,1.238766462,1.717411859,1.04683067
15735,7.912863746,2.160162338,2.254937332,1.225633098,2.67948213,1.207441639,1.256443743,0.934194967
15874,7.606393651,2.604171754,0.789276028,1.108947333,2.426101852,1.384492437,0.700059628,0.741375394
15788,4.93233607,3.087447886,1.241336336,2.456330943,1.782913909,1.482607564,0.951509136,1.270956087
14825,4.803227393,1.818361819,2.545008756,2.24147239,1.831643226,1.090795762,1.283177955,1.184759924
17753,9.835182088,2.205191432,2.567108524,1.363085352,2.968219391,1.25103612,1.183452689,0.966703736
16669,8.161603548,2.1026865,1.634986996,1.46076959,2.547780455,1.223198344,1.018222527,1.018570913
18092,4.266359407,4.389578768,1.397444467,2.451908972,1.821903765,1.808947798,0.94629338,1.238851455
15834,4.768758323,1.736056591,1.22048339,1.624090247,1.721265433,1.02560902,0.884874229,1.058045372
,,,,,,,,
,6.046539011,2.624062133,2.038668544,1.720269589,2.111385421,1.333919135,1.116666192,1.052997863
